Sample_ID	Animal_ID	Eye_sampled	Date_Sampled	Breed	Hide_Color	Sex	Age	Type	Run	Cohort	Swabbing	Mock_example
1	29	Left	0d	Simmental_composite	Red	Heifer	2_22_2020	sample	seq_1	A	L1	Sample
2	29	Right	0d	Simmental_composite	Red	Heifer	2_22_2020	sample	seq_1	A	R1	Sample
3	36	Left	0d	Simmental_composite	Red	Heifer	2_23_2020	sample	seq_1	A	L1	Sample
4	36	Right	0d	Simmental_composite	Red	Heifer	2_23_2020	sample	seq_1	A	R1	Sample
5	38	Left	0d	Simmental_composite	Black	Heifer	2_24_2020	sample	seq_1	A	L1	Sample
6	38	Right	0d	Simmental_composite	Black	Heifer	2_24_2020	sample	seq_1	A	R1	Sample
7	83	Left	0d	CS	Red	Heifer	2_29_2020	sample	seq_1	A	L1	Sample
8	83	Right	0d	CS	Red	Heifer	2_29_2020	sample	seq_1	A	R1	Sample
9	92	Left	0d	Simmental_composite	Black	Heifer	3_1_2020	sample	seq_1	A	L1	Sample
10	92	Right	0d	Simmental_composite	Black	Heifer	3_1_2020	sample	seq_1	A	R1	Sample
96	NEG_CON	NONE	NONE	NONE	NONE	NONE	NONE	NEG_CON	seq_1	NONE	NONE	Neg
129	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
103	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
134	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
205	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
284	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
307	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
356	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
373	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
374	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
375	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
376	Pos_control	NONE	NONE	NONE	NONE	NONE	NONE	sample	seq_1	NONE	NONE	Pos
