reads.in	reads.out
1_S1_L001_R1_001.fastq.gz	12029	10657
10_S10_L001_R1_001.fastq.gz	4401	4099
129_S129_L001_R1_001.fastq.gz	309493	230970
134_S134_L001_R1_001.fastq.gz	22877	12651
2_S2_L001_R1_001.fastq.gz	15569	14704
205_S205_L001_R1_001.fastq.gz	12379	6231
284_S284_L001_R1_001.fastq.gz	23876	12823
3_S3_L001_R1_001.fastq.gz	24387	22584
307_S307_L001_R1_001.fastq.gz	23835	13063
356_S356_L001_R1_001.fastq.gz	40587	22187
373_S373_L001_R1_001.fastq.gz	10002	9378
374_S374_L001_R1_001.fastq.gz	11852	11412
375_S375_L001_R1_001.fastq.gz	13912	13360
376_S376_L001_R1_001.fastq.gz	20847	20032
4_S4_L001_R1_001.fastq.gz	33735	31784
5_S5_L001_R1_001.fastq.gz	13580	12739
6_S6_L001_R1_001.fastq.gz	65820	60318
7_S7_L001_R1_001.fastq.gz	43141	39350
8_S8_L001_R1_001.fastq.gz	15094	13538
9_S9_L001_R1_001.fastq.gz	28231	25736
96_S96_L001_R1_001.fastq.gz	477	445
